Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
1.0,1.0,0.9987228607918263,0.9987228607918263,1.0,0.9584352078239609,0.9034965034965035,0.9034965034965035,0.9034965034965035,0.929427430093209,0.9034965034965035,0.9034965034965035,0.9034965034965035,0.9034965034965035,0.929427430093209,0.9034965034965035,0.9034965034965035,0.9034965034965035,0.9034965034965035,0.929427430093209,0.9034965034965035,0.9034965034965035,0.9034965034965035,0.9034965034965035,0.929427430093209,0.9034965034965035,0.9034965034965035,0.9034965034965035,0.9034965034965035,0.929427430093209,0.9034965034965035,0.8621190130624092,0.8621190130624092,0.8621190130624092,0.9184210526315789,0.8621190130624092,1.0,0.9987228607918263,0.9987228607918263,0.9584352078239609,1.0,1.0,0.9987228607918263,1.0,1.0,0.9987228607918263
1.0,1.0,0.9987228607918263,1.0,1.0,0.9468599033816425,0.939106901217862,0.939106901217862,0.9760403530895334,0.9329829172141918,0.939106901217862,0.9347826086956522,0.9347826086956522,0.9760403530895334,0.9329829172141918,0.9347826086956522,0.939106901217862,0.939106901217862,0.9760403530895334,0.9329829172141918,0.939106901217862,0.939106901217862,0.939106901217862,0.9760403530895334,0.9329829172141918,0.939106901217862,0.939106901217862,0.939106901217862,0.9760403530895334,0.9329829172141918,0.939106901217862,0.8783977110157367,0.8783977110157367,0.8783977110157367,0.9256844850065189,0.8783977110157367,1.0,0.9987228607918263,1.0,0.9468599033816425,1.0,1.0,1.0,1.0,1.0,0.9870801033591732
1.0,0.9987228607918263,0.9974424552429667,0.9987228607918263,0.9987228607918263,0.9468599033816425,0.9274965800273598,0.9274965800273598,0.9782886334610472,0.9528795811518325,0.9274965800273598,0.9245541838134431,0.9245541838134431,0.9782886334610472,0.9528795811518325,0.9245541838134431,0.9274965800273598,0.9274965800273598,0.9782886334610472,0.9528795811518325,0.9274965800273598,0.9274965800273598,0.9274965800273598,0.9782886334610472,0.9528795811518325,0.9274965800273598,0.9274965800273598,0.9274965800273598,0.9782886334610472,0.9528795811518325,0.9274965800273598,0.8895184135977338,0.8895184135977338,0.8895184135977338,0.9491525423728814,0.8895184135977338,1.0,0.9974424552429667,0.9987228607918263,0.9468599033816425,1.0,1.0,0.9987228607918263,1.0,0.9987228607918263,0.9896907216494846
1.0,1.0,1.0,1.0,1.0,0.9679012345679012,0.939106901217862,0.939106901217862,0.9807445442875481,0.9299191374663073,0.939106901217862,0.9318801089918256,0.9318801089918256,0.9807445442875481,0.9299191374663073,0.9318801089918256,0.939106901217862,0.939106901217862,0.9807445442875481,0.9299191374663073,0.939106901217862,0.939106901217862,0.939106901217862,0.9807445442875481,0.9299191374663073,0.939106901217862,0.939106901217862,0.939106901217862,0.9807445442875481,0.9299191374663073,0.939106901217862,0.8831908831908832,0.8831908831908832,0.8831908831908832,0.9212283044058746,0.8831908831908832,1.0,1.0,1.0,0.9679012345679012,1.0,1.0,1.0,1.0,1.0,0.993581514762516
1.0,1.0,1.0,1.0,1.0,0.9560975609756097,0.9260273972602739,0.9260273972602739,0.9260273972602739,0.9472295514511874,0.9260273972602739,0.9201101928374655,0.9201101928374655,0.9201101928374655,0.9472295514511874,0.9201101928374655,0.9260273972602739,0.9260273972602739,0.9260273972602739,0.9472295514511874,0.9260273972602739,0.9260273972602739,0.9260273972602739,0.9260273972602739,0.9472295514511874,0.9260273972602739,0.9260273972602739,0.9260273972602739,0.9260273972602739,0.9472295514511874,0.9260273972602739,0.8767908309455588,0.8767908309455588,0.8767908309455588,0.9373368146214099,0.8767908309455588,1.0,1.0,1.0,0.9560975609756097,1.0,1.0,1.0,1.0,1.0,0.9961587708066582
1.0,1.0,1.0,0.9987228607918263,0.9974554707379135,0.9468599033816425,0.9376693766937669,0.9376693766937669,0.9885057471264368,0.9565217391304348,0.9376693766937669,0.9318801089918256,0.9318801089918256,0.9885057471264368,0.9565217391304348,0.9318801089918256,0.9376693766937669,0.9376693766937669,0.9885057471264368,0.9565217391304348,0.9376693766937669,0.9376693766937669,0.9376693766937669,0.9885057471264368,0.9565217391304348,0.9376693766937669,0.9376693766937669,0.9376693766937669,0.9885057471264368,0.9565217391304348,0.9376693766937669,0.8942172073342737,0.8942172073342737,0.8942172073342737,0.9465449804432855,0.8942172073342737,1.0,1.0,0.9987228607918263,0.9468599033816425,1.0,1.0,0.9987228607918263,1.0,0.9987228607918263,0.9896907216494846
1.0,0.9974358974358974,0.9974358974358974,0.9961489088575096,0.9974358974358974,0.9534313725490197,0.9078212290502793,0.9078212290502793,0.9078212290502793,0.9156626506024096,0.9078212290502793,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9156626506024096,0.9032258064516129,0.9078212290502793,0.9078212290502793,0.9078212290502793,0.9156626506024096,0.9078212290502793,0.9078212290502793,0.9078212290502793,0.9078212290502793,0.9156626506024096,0.9078212290502793,0.9078212290502793,0.9078212290502793,0.9078212290502793,0.9156626506024096,0.9078212290502793,0.8550512445095169,0.8550512445095169,0.8550512445095169,0.9083665338645418,0.8550512445095169,1.0,0.9974358974358974,0.9961489088575096,0.9534313725490197,1.0,1.0,0.9961489088575096,0.9961489088575096,0.9961489088575096,0.9857328145265889
1.0,1.0,1.0,1.0,1.0,0.9571603427172583,0.919889502762431,0.919889502762431,0.919889502762431,0.9373368146214099,0.919889502762431,0.9138888888888889,0.9138888888888889,0.9138888888888889,0.9373368146214099,0.9138888888888889,0.919889502762431,0.919889502762431,0.919889502762431,0.9373368146214099,0.919889502762431,0.919889502762431,0.919889502762431,0.919889502762431,0.9373368146214099,0.919889502762431,0.919889502762431,0.919889502762431,0.919889502762431,0.9373368146214099,0.919889502762431,0.8516886930983847,0.8516886930983847,0.8516886930983847,0.9324675324675324,0.8516886930983847,1.0,1.0,1.0,0.9571603427172583,1.0,1.0,1.0,1.0,1.0,0.9961783439490446
1.0,1.0,1.0,0.998719590268886,1.0,0.9513381995133819,0.9432432432432433,0.9432432432432433,0.9432432432432433,0.9375830013280213,0.9432432432432433,0.9389416553595658,0.9389416553595658,0.9389416553595658,0.9375830013280213,0.9389416553595658,0.9432432432432433,0.9432432432432433,0.9432432432432433,0.9375830013280213,0.9432432432432433,0.9432432432432433,0.9432432432432433,0.9432432432432433,0.9375830013280213,0.9432432432432433,0.9432432432432433,0.9432432432432433,0.9432432432432433,0.9375830013280213,0.9432432432432433,0.8985915492957747,0.8985915492957747,0.8985915492957747,0.9240837696335078,0.8985915492957747,1.0,1.0,0.998719590268886,0.9513381995133819,1.0,1.0,0.998719590268886,1.0,0.998719590268886,0.9513381995133819
1.0,0.998719590268886,0.998719590268886,0.998719590268886,0.998719590268886,0.9582309582309583,0.919889502762431,0.919889502762431,0.9730423620025674,0.9347536617842876,0.919889502762431,0.9153952843273232,0.9153952843273232,0.9730423620025674,0.9347536617842876,0.9153952843273232,0.919889502762431,0.919889502762431,0.9730423620025674,0.9347536617842876,0.919889502762431,0.919889502762431,0.919889502762431,0.9730423620025674,0.9347536617842876,0.919889502762431,0.919889502762431,0.919889502762431,0.9730423620025674,0.9347536617842876,0.919889502762431,0.8812589413447782,0.8812589413447782,0.8812589413447782,0.9224704336399474,0.8812589413447782,1.0,0.998719590268886,0.998719590268886,0.9582309582309583,1.0,1.0,0.998719590268886,0.998719590268886,0.998719590268886,0.9883570504527813
